<http://www.yso.fi/onto/yso/p10372>	funktionsmässighet
<http://www.yso.fi/onto/yso/p10373>	elektronisk krigföring
<http://www.yso.fi/onto/yso/p10374>	handelns organisationer
<http://www.yso.fi/onto/yso/p10375>	företagarorganisationer
<http://www.yso.fi/onto/yso/p10376>	centralaffärer
<http://www.yso.fi/onto/yso/p10377>	kognitiv religionsvetenskap
<http://www.yso.fi/onto/yso/p10378>	arkivfunktion
<http://www.yso.fi/onto/yso/p10379>	dokumentförvaltning
<http://www.yso.fi/onto/yso/p1038>	temaår
<http://www.yso.fi/onto/yso/p10380>	vetenskapligt samarbete
<http://www.yso.fi/onto/yso/p10381>	arbetslöshetspenning
<http://www.yso.fi/onto/yso/p10382>	dagpenning
<http://www.yso.fi/onto/yso/p10383>	arbetslöshetsersättningar
<http://www.yso.fi/onto/yso/p10384>	telefonsvarare
<http://www.yso.fi/onto/yso/p10385>	uppföljningskonferenser
<http://www.yso.fi/onto/yso/p10386>	perserkrigen
<http://www.yso.fi/onto/yso/p10387>	sjukpenning
<http://www.yso.fi/onto/yso/p10389>	Vuoksenniska kyrka
<http://www.yso.fi/onto/yso/p1039>	ideal
<http://www.yso.fi/onto/yso/p10390>	jättepanda
<http://www.yso.fi/onto/yso/p10391>	pandor
<http://www.yso.fi/onto/yso/p10392>	Söderlångvik
<http://www.yso.fi/onto/yso/p10393>	programmerare
<http://www.yso.fi/onto/yso/p10394>	kroatiska
<http://www.yso.fi/onto/yso/p10395>	bosniska
<http://www.yso.fi/onto/yso/p10396>	serbokroatiska
<http://www.yso.fi/onto/yso/p10397>	inventering
<http://www.yso.fi/onto/yso/p10398>	katalogisering
<http://www.yso.fi/onto/yso/p10399>	nonaggressionspakter
<http://www.yso.fi/onto/yso/p104>	program (radio- eller tv-program)
<http://www.yso.fi/onto/yso/p1040>	hjältar
<http://www.yso.fi/onto/yso/p10400>	masochism
<http://www.yso.fi/onto/yso/p10401>	sado-masochism
<http://www.yso.fi/onto/yso/p10402>	sexuella avvikelser
<http://www.yso.fi/onto/yso/p10403>	sadism
<http://www.yso.fi/onto/yso/p10404>	aikido
<http://www.yso.fi/onto/yso/p10405>	skeppsbrott
<http://www.yso.fi/onto/yso/p10406>	haverier
<http://www.yso.fi/onto/yso/p10407>	sjöförklaringar
<http://www.yso.fi/onto/yso/p10408>	landsvägscykling
<http://www.yso.fi/onto/yso/p10409>	cykling
<http://www.yso.fi/onto/yso/p1041>	förebilder
<http://www.yso.fi/onto/yso/p10410>	ortnamn
<http://www.yso.fi/onto/yso/p10411>	naglar
<http://www.yso.fi/onto/yso/p10413>	selen
<http://www.yso.fi/onto/yso/p10414>	historieforskning
<http://www.yso.fi/onto/yso/p10415>	myntfynd
<http://www.yso.fi/onto/yso/p10416>	skattfynd
<http://www.yso.fi/onto/yso/p10417>	fornföremål
<http://www.yso.fi/onto/yso/p10419>	stenhuggare
<http://www.yso.fi/onto/yso/p1042>	hjältemod
<http://www.yso.fi/onto/yso/p10420>	livräddning
<http://www.yso.fi/onto/yso/p10421>	san (afrikaner)
<http://www.yso.fi/onto/yso/p10422>	modern tradition
<http://www.yso.fi/onto/yso/p10423>	moderna sägner
<http://www.yso.fi/onto/yso/p10424>	internationell straffrätt
<http://www.yso.fi/onto/yso/p10425>	straffrätt
<http://www.yso.fi/onto/yso/p10426>	turkiska
<http://www.yso.fi/onto/yso/p10427>	begravningstjänster
<http://www.yso.fi/onto/yso/p10428>	tegelbyggnader
<http://www.yso.fi/onto/yso/p10429>	samhällsvetenskaper
