<http://www.yso.fi/onto/yso/p10225>	työssäoppiminen
<http://www.yso.fi/onto/yso/p10226>	työelämään tutustuminen
<http://www.yso.fi/onto/yso/p10227>	käytännön opetus
<http://www.yso.fi/onto/yso/p10228>	nimimerkit
<http://www.yso.fi/onto/yso/p10229>	taiteilijanimet
<http://www.yso.fi/onto/yso/p1023>	glykoli
<http://www.yso.fi/onto/yso/p10230>	salanimet
<http://www.yso.fi/onto/yso/p10231>	lämmityskattilat
<http://www.yso.fi/onto/yso/p10232>	kattilalaitteistot
<http://www.yso.fi/onto/yso/p10233>	maitojauhe
<http://www.yso.fi/onto/yso/p10234>	oikeusapulaki
<http://www.yso.fi/onto/yso/p10235>	kiinteistönhoito
<http://www.yso.fi/onto/yso/p10236>	puhtaanapito
<http://www.yso.fi/onto/yso/p10237>	äänisuunnittelijat
<http://www.yso.fi/onto/yso/p10238>	plasmafysiikka
<http://www.yso.fi/onto/yso/p10239>	muurarit
<http://www.yso.fi/onto/yso/p1024>	rikos ihmisyyttä vastaan
<http://www.yso.fi/onto/yso/p10240>	rapsodiat
<http://www.yso.fi/onto/yso/p10241>	impromptut
<http://www.yso.fi/onto/yso/p10242>	serenadit
<http://www.yso.fi/onto/yso/p10243>	toccatat
<http://www.yso.fi/onto/yso/p10244>	intermezzot
<http://www.yso.fi/onto/yso/p10245>	etydit
<http://www.yso.fi/onto/yso/p10246>	konsertot
<http://www.yso.fi/onto/yso/p10247>	sinfoniat
<http://www.yso.fi/onto/yso/p10248>	puhelinverkot
<http://www.yso.fi/onto/yso/p10249>	nuoret työntekijät
<http://www.yso.fi/onto/yso/p1025>	kaiku
<http://www.yso.fi/onto/yso/p10250>	progressiivinen rock
<http://www.yso.fi/onto/yso/p10251>	leivänpaahtimet
<http://www.yso.fi/onto/yso/p10252>	vähemmistöpolitiikka
<http://www.yso.fi/onto/yso/p10253>	siirtolaispolitiikka
<http://www.yso.fi/onto/yso/p10254>	ulkomaalaispolitiikka
<http://www.yso.fi/onto/yso/p10255>	maahanmuuttopolitiikka
<http://www.yso.fi/onto/yso/p10256>	biljardi
<http://www.yso.fi/onto/yso/p10257>	snooker
<http://www.yso.fi/onto/yso/p10258>	kasvatushistoria
<http://www.yso.fi/onto/yso/p10259>	teeri
<http://www.yso.fi/onto/yso/p1026>	sironta
<http://www.yso.fi/onto/yso/p10260>	rannikkovedet
<http://www.yso.fi/onto/yso/p10261>	hydrosfääri
